=== slow log started: C:\Users\Administrator\Documents\GitHub\defect-detector-v3\analisSurface\backend\logs\2026-09-09_22-31-39\slow.log ===
2026-09-09T22:37:10.072 SLOW POST /inspect-shm status=200 duration_ms=1419.4
2026-09-09T22:37:19.617 SLOW POST /inspect-shm status=200 duration_ms=1657.9
2026-09-09T22:37:20.224 SLOW POST /inspect-shm status=200 duration_ms=1444.8
2026-09-09T22:37:20.381 SLOW POST /inspect-shm status=200 duration_ms=1096.6
2026-09-09T22:37:29.805 SLOW POST /inspect-shm status=200 duration_ms=1689.1
2026-09-09T22:37:30.270 SLOW POST /inspect-shm status=200 duration_ms=1494.9
2026-09-09T22:37:30.535 SLOW POST /inspect-shm status=200 duration_ms=1452.1
2026-09-09T22:37:40.440 SLOW POST /inspect-shm status=200 duration_ms=1540.1
2026-09-09T22:37:40.736 SLOW POST /inspect-shm status=200 duration_ms=1423.9
2026-09-09T22:37:40.846 SLOW POST /inspect-shm status=200 duration_ms=1721.3
2026-09-09T22:37:50.389 SLOW POST /inspect-shm status=200 duration_ms=1569.0
2026-09-09T22:37:50.623 SLOW POST /inspect-shm status=200 duration_ms=1458.3
2026-09-09T22:37:50.779 SLOW POST /inspect-shm status=200 duration_ms=1327.8
2026-09-09T22:38:00.014 SLOW POST /inspect-shm status=200 duration_ms=1603.9
2026-09-09T22:38:00.646 SLOW POST /inspect-shm status=200 duration_ms=1426.5
2026-09-09T22:38:10.216 SLOW POST /inspect-shm status=200 duration_ms=1624.2
2026-09-09T22:38:20.370 SLOW POST /inspect-shm status=200 duration_ms=1678.3
2026-09-09T22:38:20.931 SLOW POST /inspect-shm status=200 duration_ms=1275.3
2026-09-09T22:38:30.857 SLOW POST /inspect-shm status=200 duration_ms=1588.4
2026-09-09T22:38:30.998 SLOW POST /inspect-shm status=200 duration_ms=1600.5
2026-09-09T22:38:31.138 SLOW POST /inspect-shm status=200 duration_ms=1425.8
2026-09-09T22:38:31.205 SLOW POST /inspect-shm status=200 duration_ms=1583.8
2026-09-09T22:38:40.351 SLOW POST /inspect-shm status=200 duration_ms=1503.3
2026-09-09T22:38:40.756 SLOW POST /inspect-shm status=200 duration_ms=1506.6
2026-09-09T22:38:40.944 SLOW POST /inspect-shm status=200 duration_ms=1492.0
2026-09-09T22:38:41.006 SLOW POST /inspect-shm status=200 duration_ms=1113.2
2026-09-09T22:38:50.655 SLOW POST /inspect-shm status=200 duration_ms=1625.1
2026-09-09T22:38:51.062 SLOW POST /inspect-shm status=200 duration_ms=1578.7
2026-09-09T22:38:51.156 SLOW POST /inspect-shm status=200 duration_ms=1365.0
2026-09-09T22:39:00.694 SLOW POST /inspect-shm status=200 duration_ms=1606.3
2026-09-09T22:39:01.227 SLOW POST /inspect-shm status=200 duration_ms=1369.9
2026-09-09T22:39:01.352 SLOW POST /inspect-shm status=200 duration_ms=1219.5
2026-09-09T22:39:10.793 SLOW POST /inspect-shm status=200 duration_ms=1683.2
2026-09-09T22:39:11.475 SLOW POST /inspect-shm status=200 duration_ms=1571.6
2026-09-09T22:39:11.725 SLOW POST /inspect-shm status=200 duration_ms=1711.5
2026-09-09T22:39:13.716 SLOW POST /inspect-shm status=200 duration_ms=3438.5
2026-09-09T22:39:21.141 SLOW POST /inspect-shm status=200 duration_ms=1739.0
2026-09-09T22:39:21.390 SLOW POST /inspect-shm status=200 duration_ms=1537.6
2026-09-09T22:39:21.452 SLOW POST /inspect-shm status=200 duration_ms=1430.0
2026-09-09T22:39:31.208 SLOW POST /inspect-shm status=200 duration_ms=1403.8
2026-09-09T22:39:31.613 SLOW POST /inspect-shm status=200 duration_ms=1455.4
2026-09-09T22:39:31.910 SLOW POST /inspect-shm status=200 duration_ms=1186.0
2026-09-09T22:39:41.482 SLOW POST /inspect-shm status=200 duration_ms=1681.8
2026-09-09T22:39:41.717 SLOW POST /inspect-shm status=200 duration_ms=1529.2
2026-09-09T22:39:51.586 SLOW POST /inspect-shm status=200 duration_ms=1691.5
2026-09-09T22:39:51.852 SLOW POST /inspect-shm status=200 duration_ms=1655.8
2026-09-09T22:39:51.914 SLOW POST /inspect-shm status=200 duration_ms=1644.5
2026-09-09T22:39:51.961 SLOW POST /inspect-shm status=200 duration_ms=1419.2
2026-09-09T22:40:01.917 SLOW POST /inspect-shm status=200 duration_ms=1683.3
2026-09-09T22:40:02.011 SLOW POST /inspect-shm status=200 duration_ms=1885.0
2026-09-09T22:40:02.104 SLOW POST /inspect-shm status=200 duration_ms=1605.4
2026-09-09T22:40:02.151 SLOW POST /inspect-shm status=200 duration_ms=1487.7
2026-09-09T22:40:11.805 SLOW POST /inspect-shm status=200 duration_ms=1561.8
2026-09-09T22:40:12.039 SLOW POST /inspect-shm status=200 duration_ms=1456.0
2026-09-09T22:40:12.148 SLOW POST /inspect-shm status=200 duration_ms=1621.4
2026-09-09T22:40:21.975 SLOW POST /inspect-shm status=200 duration_ms=1730.4
2026-09-09T22:40:22.116 SLOW POST /inspect-shm status=200 duration_ms=1082.1
2026-09-09T22:40:22.225 SLOW POST /inspect-shm status=200 duration_ms=1779.6
2026-09-09T22:40:22.330 SLOW POST /inspect-shm status=200 duration_ms=1667.5
2026-09-09T22:40:31.805 SLOW POST /inspect-shm status=200 duration_ms=1066.6
2026-09-09T22:40:31.946 SLOW POST /inspect-shm status=200 duration_ms=1195.4
2026-09-09T22:40:32.087 SLOW POST /inspect-shm status=200 duration_ms=2080.1
2026-09-09T22:40:32.671 SLOW POST /inspect-shm status=200 duration_ms=1489.5
2026-09-09T22:40:41.999 SLOW POST /inspect-shm status=200 duration_ms=1597.4
2026-09-09T22:40:42.296 SLOW POST /inspect-shm status=200 duration_ms=1514.7
2026-09-09T22:40:42.540 SLOW POST /inspect-shm status=200 duration_ms=1375.4
2026-09-09T22:40:51.950 SLOW POST /inspect-shm status=200 duration_ms=1019.7
2026-09-09T22:40:52.407 SLOW POST /inspect-shm status=200 duration_ms=1821.6
2026-09-09T22:40:52.501 SLOW POST /inspect-shm status=200 duration_ms=1908.5
2026-09-09T22:41:02.257 SLOW POST /inspect-shm status=200 duration_ms=1929.4
2026-09-09T22:41:02.477 SLOW POST /inspect-shm status=200 duration_ms=1173.8
2026-09-09T22:41:02.602 SLOW POST /inspect-shm status=200 duration_ms=1846.4
2026-09-09T22:41:02.758 SLOW POST /inspect-shm status=200 duration_ms=1686.5
2026-09-09T22:41:12.286 SLOW POST /inspect-shm status=200 duration_ms=1143.3
2026-09-09T22:41:12.608 SLOW POST /inspect-shm status=200 duration_ms=1721.1
2026-09-09T22:41:12.788 SLOW POST /inspect-shm status=200 duration_ms=1842.3
2026-09-09T22:41:13.007 SLOW POST /inspect-shm status=200 duration_ms=1266.4
2026-09-09T22:41:22.498 SLOW POST /inspect-shm status=200 duration_ms=1714.5
2026-09-09T22:41:22.732 SLOW POST /inspect-shm status=200 duration_ms=1407.2
2026-09-09T22:41:22.842 SLOW POST /inspect-shm status=200 duration_ms=1716.7
2026-09-09T22:41:22.951 SLOW POST /inspect-shm status=200 duration_ms=1726.8
2026-09-09T22:41:32.355 SLOW POST /inspect-shm status=200 duration_ms=1791.0
2026-09-09T22:41:32.757 SLOW POST /inspect-shm status=200 duration_ms=1690.8
2026-09-09T22:41:32.913 SLOW POST /inspect-shm status=200 duration_ms=1489.0
2026-09-09T22:41:33.053 SLOW POST /inspect-shm status=200 duration_ms=1705.4
2026-09-09T22:41:42.145 SLOW POST /inspect-shm status=200 duration_ms=1623.6
2026-09-09T22:41:42.834 SLOW POST /inspect-shm status=200 duration_ms=1517.3
2026-09-09T22:41:43.006 SLOW POST /inspect-shm status=200 duration_ms=1589.1
2026-09-09T22:41:43.131 SLOW POST /inspect-shm status=200 duration_ms=1479.6
2026-09-09T22:41:52.626 SLOW POST /inspect-shm status=200 duration_ms=1799.7
2026-09-09T22:41:52.964 SLOW POST /inspect-shm status=200 duration_ms=1732.0
2026-09-09T22:41:53.152 SLOW POST /inspect-shm status=200 duration_ms=1589.6
2026-09-09T22:42:02.956 SLOW POST /inspect-shm status=200 duration_ms=1427.3
2026-09-09T22:42:03.405 SLOW POST /inspect-shm status=200 duration_ms=1246.4
2026-09-09T22:42:13.033 SLOW POST /inspect-shm status=200 duration_ms=1770.1
2026-09-09T22:42:13.158 SLOW POST /inspect-shm status=200 duration_ms=1956.4
2026-09-09T22:42:13.252 SLOW POST /inspect-shm status=200 duration_ms=1742.9
2026-09-09T22:42:13.361 SLOW POST /inspect-shm status=200 duration_ms=1399.9
2026-09-09T22:42:22.839 SLOW POST /inspect-shm status=200 duration_ms=1108.0
2026-09-09T22:42:23.042 SLOW POST /inspect-shm status=200 duration_ms=2037.8
2026-09-09T22:42:23.182 SLOW POST /inspect-shm status=200 duration_ms=1711.5
2026-09-09T22:42:23.623 SLOW POST /inspect-shm status=200 duration_ms=1430.8
2026-09-09T22:42:32.425 SLOW POST /inspect-shm status=200 duration_ms=1030.1
