=== slow log started: C:\Users\Administrator\Documents\GitHub\defect-detector-v3\analisSurface\backend\logs\2026-09-09_22-31-36\slow.log ===
2026-09-09T22:32:06.283 SLOW POST /inspect-shm status=200 duration_ms=1086.4
2026-09-09T22:32:06.552 SLOW POST /inspect-shm status=200 duration_ms=1689.1
2026-09-09T22:32:07.005 SLOW POST /inspect-shm status=200 duration_ms=1589.4
2026-09-09T22:32:07.080 SLOW POST /inspect-shm status=200 duration_ms=1359.5
2026-09-09T22:32:08.269 SLOW POST /inspect-shm-visuals status=200 duration_ms=1008.4
2026-09-09T22:32:08.391 SLOW POST /inspect-shm-visuals status=200 duration_ms=1123.4
2026-09-09T22:32:08.474 SLOW POST /inspect-shm-visuals status=200 duration_ms=1214.1
2026-09-09T22:32:08.560 SLOW POST /inspect-shm-visuals status=200 duration_ms=1284.3
2026-09-09T22:32:09.539 SLOW POST /inspect-shm-visuals status=200 duration_ms=1144.2
2026-09-09T22:32:15.701 SLOW POST /inspect-shm status=200 duration_ms=1650.0
2026-09-09T22:32:16.321 SLOW POST /inspect-shm status=200 duration_ms=1526.4
2026-09-09T22:32:16.564 SLOW POST /inspect-shm status=200 duration_ms=1617.3
2026-09-09T22:32:16.804 SLOW POST /inspect-shm status=200 duration_ms=1280.4
2026-09-09T22:32:18.219 SLOW POST /inspect-shm-visuals status=200 duration_ms=1179.3
2026-09-09T22:32:18.260 SLOW POST /inspect-shm-visuals status=200 duration_ms=1217.3
2026-09-09T22:32:18.312 SLOW POST /inspect-shm-visuals status=200 duration_ms=1249.8
2026-09-09T22:32:19.348 SLOW POST /inspect-shm-visuals status=200 duration_ms=1350.4
2026-09-09T22:32:19.349 SLOW POST /inspect-shm-visuals status=200 duration_ms=1011.1
2026-09-09T22:32:25.676 SLOW POST /inspect-shm status=200 duration_ms=1621.7
2026-09-09T22:32:26.255 SLOW POST /inspect-shm status=200 duration_ms=1600.3
2026-09-09T22:32:26.427 SLOW POST /inspect-shm status=200 duration_ms=1415.9
2026-09-09T22:32:26.521 SLOW POST /inspect-shm status=200 duration_ms=1250.9
2026-09-09T22:32:28.623 SLOW POST /inspect-shm-visuals status=200 duration_ms=1096.6
2026-09-09T22:32:28.855 SLOW POST /inspect-shm-visuals status=200 duration_ms=1134.9
2026-09-09T22:32:28.965 SLOW POST /inspect-shm-visuals status=200 duration_ms=1093.8
2026-09-09T22:32:36.303 SLOW POST /inspect-shm status=200 duration_ms=1626.0
2026-09-09T22:32:36.616 SLOW POST /inspect-shm status=200 duration_ms=1517.5
2026-09-09T22:32:37.994 SLOW POST /inspect-shm-visuals status=200 duration_ms=1165.2
2026-09-09T22:32:38.054 SLOW POST /inspect-shm-visuals status=200 duration_ms=1233.5
2026-09-09T22:32:38.140 SLOW POST /inspect-shm-visuals status=200 duration_ms=1319.6
2026-09-09T22:32:38.889 SLOW POST /inspect-shm-visuals status=200 duration_ms=1056.5
2026-09-09T22:32:46.093 SLOW POST /inspect-shm status=200 duration_ms=1030.2
2026-09-09T22:32:46.187 SLOW POST /inspect-shm status=200 duration_ms=1011.8
2026-09-09T22:32:46.470 SLOW POST /inspect-shm status=200 duration_ms=1766.9
2026-09-09T22:32:46.548 SLOW POST /inspect-shm status=200 duration_ms=1588.4
2026-09-09T22:32:48.033 SLOW POST /inspect-shm-visuals status=200 duration_ms=1133.2
2026-09-09T22:32:48.080 SLOW POST /inspect-shm-visuals status=200 duration_ms=1178.8
2026-09-09T22:32:48.133 SLOW POST /inspect-shm-visuals status=200 duration_ms=1247.4
2026-09-09T22:32:48.917 SLOW POST /inspect-shm-visuals status=200 duration_ms=1077.7
2026-09-09T22:32:55.921 SLOW POST /inspect-shm status=200 duration_ms=1657.5
2026-09-09T22:32:56.046 SLOW POST /inspect-shm status=200 duration_ms=1154.7
2026-09-09T22:32:56.614 SLOW POST /inspect-shm status=200 duration_ms=1471.3
2026-09-09T22:32:59.694 SLOW POST /inspect-shm-visuals status=200 duration_ms=1186.1
2026-09-09T22:32:59.787 SLOW POST /inspect-shm-visuals status=200 duration_ms=1269.4
2026-09-09T22:32:59.825 SLOW POST /inspect-shm-visuals status=200 duration_ms=1313.1
2026-09-09T22:33:00.536 SLOW POST /inspect-shm-visuals status=200 duration_ms=1041.2
2026-09-09T22:33:06.178 SLOW POST /inspect-shm status=200 duration_ms=1643.2
2026-09-09T22:33:06.691 SLOW POST /inspect-shm status=200 duration_ms=1549.8
2026-09-09T22:33:06.737 SLOW POST /inspect-shm status=200 duration_ms=1404.2
2026-09-09T22:33:08.006 SLOW POST /inspect-shm-visuals status=200 duration_ms=1059.0
2026-09-09T22:33:08.978 SLOW POST /inspect-shm-visuals status=200 duration_ms=1136.2
2026-09-09T22:33:09.205 SLOW POST /inspect-shm-visuals status=200 duration_ms=1063.4
2026-09-09T22:33:15.981 SLOW POST /inspect-shm status=200 duration_ms=1542.8
2026-09-09T22:33:16.605 SLOW POST /inspect-shm status=200 duration_ms=1362.5
2026-09-09T22:33:16.800 SLOW POST /inspect-shm status=200 duration_ms=1050.2
2026-09-09T22:33:18.141 SLOW POST /inspect-shm-visuals status=200 duration_ms=1128.5
2026-09-09T22:33:18.221 SLOW POST /inspect-shm-visuals status=200 duration_ms=1219.4
2026-09-09T22:33:18.290 SLOW POST /inspect-shm-visuals status=200 duration_ms=1282.5
2026-09-09T22:33:19.161 SLOW POST /inspect-shm-visuals status=200 duration_ms=1088.8
2026-09-09T22:33:26.757 SLOW POST /inspect-shm status=200 duration_ms=1759.6
2026-09-09T22:33:26.820 SLOW POST /inspect-shm status=200 duration_ms=1673.9
2026-09-09T22:33:28.430 SLOW POST /inspect-shm-visuals status=200 duration_ms=1171.3
2026-09-09T22:33:28.480 SLOW POST /inspect-shm-visuals status=200 duration_ms=1221.6
2026-09-09T22:33:28.567 SLOW POST /inspect-shm-visuals status=200 duration_ms=1315.9
2026-09-09T22:33:29.331 SLOW POST /inspect-shm-visuals status=200 duration_ms=1004.4
2026-09-09T22:33:36.983 SLOW POST /inspect-shm status=200 duration_ms=1432.1
2026-09-09T22:33:37.108 SLOW POST /inspect-shm status=200 duration_ms=1308.6
2026-09-09T22:33:38.537 SLOW POST /inspect-shm-visuals status=200 duration_ms=1203.3
2026-09-09T22:33:38.591 SLOW POST /inspect-shm-visuals status=200 duration_ms=1244.1
2026-09-09T22:33:39.135 SLOW POST /inspect-shm-visuals status=200 duration_ms=1119.7
2026-09-09T22:33:46.934 SLOW POST /inspect-shm status=200 duration_ms=1667.7
2026-09-09T22:33:47.249 SLOW POST /inspect-shm status=200 duration_ms=1624.3
2026-09-09T22:33:47.312 SLOW POST /inspect-shm status=200 duration_ms=1660.1
2026-09-09T22:33:48.696 SLOW POST /inspect-shm-visuals status=200 duration_ms=1186.3
2026-09-09T22:33:48.827 SLOW POST /inspect-shm-visuals status=200 duration_ms=1301.6
2026-09-09T22:33:49.704 SLOW POST /inspect-shm-visuals status=200 duration_ms=1185.9
2026-09-09T22:33:51.034 SLOW POST /inspect-shm-visuals status=200 duration_ms=1140.6
2026-09-09T22:33:51.498 SLOW POST /inspect-shm-visuals status=200 duration_ms=3994.7
2026-09-09T22:33:56.694 SLOW POST /inspect-shm status=200 duration_ms=1572.6
2026-09-09T22:33:57.194 SLOW POST /inspect-shm status=200 duration_ms=1566.9
2026-09-09T22:33:57.678 SLOW POST /inspect-shm status=200 duration_ms=1207.1
2026-09-09T22:33:59.070 SLOW POST /inspect-shm-visuals status=200 duration_ms=1184.3
2026-09-09T22:33:59.113 SLOW POST /inspect-shm-visuals status=200 duration_ms=1226.2
2026-09-09T22:33:59.189 SLOW POST /inspect-shm-visuals status=200 duration_ms=1290.8
2026-09-09T22:34:00.108 SLOW POST /inspect-shm-visuals status=200 duration_ms=1185.4
2026-09-09T22:34:01.248 SLOW POST /inspect-shm-visuals status=200 duration_ms=1133.7
2026-09-09T22:34:26.961 SLOW POST /inspect-shm status=200 duration_ms=1067.2
2026-09-09T22:34:27.189 SLOW POST /inspect-shm status=200 duration_ms=1149.5
2026-09-09T22:34:28.585 SLOW POST /inspect-shm-visuals status=200 duration_ms=1008.0
2026-09-09T22:34:28.775 SLOW POST /inspect-shm-visuals status=200 duration_ms=1166.0
2026-09-09T22:34:28.956 SLOW POST /inspect-shm-visuals status=200 duration_ms=1068.7
2026-09-09T22:34:37.956 SLOW POST /inspect-shm status=200 duration_ms=1695.8
2026-09-09T22:34:38.185 SLOW POST /inspect-shm status=200 duration_ms=1718.6
2026-09-09T22:34:38.419 SLOW POST /inspect-shm status=200 duration_ms=1290.3
2026-09-09T22:34:40.236 SLOW POST /inspect-shm-visuals status=200 duration_ms=1221.3
2026-09-09T22:34:40.299 SLOW POST /inspect-shm-visuals status=200 duration_ms=1271.4
2026-09-09T22:34:40.342 SLOW POST /inspect-shm-visuals status=200 duration_ms=1319.0
2026-09-09T22:34:41.321 SLOW POST /inspect-shm-visuals status=200 duration_ms=1184.6
2026-09-09T22:34:42.601 SLOW POST /inspect-shm-visuals status=200 duration_ms=1208.8
2026-09-09T22:34:47.987 SLOW POST /inspect-shm status=200 duration_ms=1462.5
2026-09-09T22:34:48.052 SLOW POST /inspect-shm status=200 duration_ms=1330.3
2026-09-09T22:34:49.565 SLOW POST /inspect-shm-visuals status=200 duration_ms=1019.3
2026-09-09T22:34:49.757 SLOW POST /inspect-shm-visuals status=200 duration_ms=1204.0
2026-09-09T22:34:49.823 SLOW POST /inspect-shm-visuals status=200 duration_ms=1252.0
2026-09-09T22:34:50.282 SLOW POST /inspect-shm-visuals status=200 duration_ms=1753.7
2026-09-09T22:34:50.976 SLOW POST /inspect-shm-visuals status=200 duration_ms=1248.8
2026-09-09T22:34:58.138 SLOW POST /inspect-shm status=200 duration_ms=1820.2
2026-09-09T22:34:58.419 SLOW POST /inspect-shm status=200 duration_ms=1380.0
2026-09-09T22:34:58.466 SLOW POST /inspect-shm status=200 duration_ms=1503.8
2026-09-09T22:34:59.644 SLOW POST /inspect-shm status=200 duration_ms=1781.1
2026-09-09T22:35:01.414 SLOW POST /inspect-shm-visuals status=200 duration_ms=1284.3
2026-09-09T22:35:01.461 SLOW POST /inspect-shm-visuals status=200 duration_ms=1319.9
2026-09-09T22:35:01.556 SLOW POST /inspect-shm-visuals status=200 duration_ms=1403.0
2026-09-09T22:35:07.946 SLOW POST /inspect-shm status=200 duration_ms=1042.8
2026-09-09T22:35:08.576 SLOW POST /inspect-shm status=200 duration_ms=1739.5
2026-09-09T22:35:11.093 SLOW POST /inspect-shm-visuals status=200 duration_ms=1187.3
2026-09-09T22:35:11.139 SLOW POST /inspect-shm-visuals status=200 duration_ms=1401.4
2026-09-09T22:35:11.244 SLOW POST /inspect-shm-visuals status=200 duration_ms=1348.0
2026-09-09T22:35:18.624 SLOW POST /inspect-shm status=200 duration_ms=1664.1
2026-09-09T22:35:18.811 SLOW POST /inspect-shm status=200 duration_ms=1586.9
2026-09-09T22:35:18.874 SLOW POST /inspect-shm status=200 duration_ms=1737.4
2026-09-09T22:35:18.936 SLOW POST /inspect-shm status=200 duration_ms=1237.7
2026-09-09T22:35:20.236 SLOW POST /inspect-shm-visuals status=200 duration_ms=1113.1
2026-09-09T22:35:20.337 SLOW POST /inspect-shm-visuals status=200 duration_ms=1190.6
