2026-09-15T08:55:34.915173200Z | inspection_cycle | cam=5 frame=2 product=bench-lan6 | capture=0.295s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.295s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:34.917167500Z | inspection_cycle | cam=8 frame=2 product=bench-lan9 | capture=0.298s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.298s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:34.919163200Z | inspection_cycle | cam=2 frame=2 product=bench-lan3 | capture=0.298s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.298s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:34.920160200Z | inspection_cycle | cam=7 frame=2 product=bench-lan8 | capture=0.297s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.297s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:44.899732600Z | inspection_cycle | cam=4 frame=3 product=bench-lan5 | capture=0.241s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.241s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:44.909706500Z | inspection_cycle | cam=7 frame=3 product=bench-lan8 | capture=0.249s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.249s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:44.919679900Z | inspection_cycle | cam=3 frame=3 product=bench-lan4 | capture=0.256s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.256s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:44.923669100Z | inspection_cycle | cam=0 frame=3 product=bench-lan1 | capture=0.264s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.264s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:44.933644100Z | inspection_cycle | cam=8 frame=3 product=bench-lan9 | capture=0.269s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.269s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:44.944660700Z | inspection_cycle | cam=6 frame=3 product=bench-lan7 | capture=0.280s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.280s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
