=== slow log started: C:\Users\Administrator\Documents\GitHub\defect-detector-v3\analisSurface\backend\logs\2026-09-09_22-14-43\slow.log ===
2026-09-09T22:15:31.185 SLOW POST /inspect-shm-visuals status=200 duration_ms=1006.5
2026-09-09T22:15:31.447 SLOW POST /inspect-shm-visuals status=200 duration_ms=1124.0
2026-09-09T22:15:31.528 SLOW POST /inspect-shm-visuals status=200 duration_ms=1153.7
2026-09-09T22:15:40.350 SLOW POST /inspect-shm status=200 duration_ms=1614.2
2026-09-09T22:15:41.939 SLOW POST /inspect-shm-visuals status=200 duration_ms=1174.8
2026-09-09T22:15:42.027 SLOW POST /inspect-shm-visuals status=200 duration_ms=1252.4
2026-09-09T22:15:42.089 SLOW POST /inspect-shm-visuals status=200 duration_ms=1314.7
2026-09-09T22:15:43.006 SLOW POST /inspect-shm-visuals status=200 duration_ms=1126.6
2026-09-09T22:15:49.211 SLOW POST /inspect-shm status=200 duration_ms=1028.7
2026-09-09T22:15:49.581 SLOW POST /inspect-shm status=200 duration_ms=1562.8
2026-09-09T22:15:51.642 SLOW POST /inspect-shm-visuals status=200 duration_ms=1123.9
2026-09-09T22:15:51.732 SLOW POST /inspect-shm-visuals status=200 duration_ms=1193.2
2026-09-09T22:15:51.795 SLOW POST /inspect-shm-visuals status=200 duration_ms=1267.8
2026-09-09T22:15:52.774 SLOW POST /inspect-shm-visuals status=200 duration_ms=1113.0
2026-09-09T22:15:59.759 SLOW POST /inspect-shm status=200 duration_ms=1564.1
2026-09-09T22:16:00.064 SLOW POST /inspect-shm status=200 duration_ms=1603.8
2026-09-09T22:16:00.409 SLOW POST /inspect-shm status=200 duration_ms=1200.4
2026-09-09T22:16:01.730 SLOW POST /inspect-shm-visuals status=200 duration_ms=1135.3
2026-09-09T22:16:01.738 SLOW POST /inspect-shm-visuals status=200 duration_ms=1139.5
2026-09-09T22:16:01.788 SLOW POST /inspect-shm-visuals status=200 duration_ms=1159.8
2026-09-09T22:16:01.840 SLOW POST /inspect-shm-visuals status=200 duration_ms=1224.1
2026-09-09T22:16:03.102 SLOW POST /inspect-shm-visuals status=200 duration_ms=1214.7
2026-09-09T22:16:04.304 SLOW POST /inspect-shm-visuals status=200 duration_ms=1039.8
2026-09-09T22:16:04.696 SLOW POST /inspect-shm-visuals status=200 duration_ms=1044.1
2026-09-09T22:16:09.922 SLOW POST /inspect-shm status=200 duration_ms=1363.9
2026-09-09T22:16:10.055 SLOW POST /inspect-shm status=200 duration_ms=1347.7
2026-09-09T22:16:13.175 SLOW POST /inspect-shm-visuals status=200 duration_ms=1205.5
2026-09-09T22:16:13.213 SLOW POST /inspect-shm-visuals status=200 duration_ms=1318.3
2026-09-09T22:16:13.272 SLOW POST /inspect-shm-visuals status=200 duration_ms=1236.0
2026-09-09T22:16:19.934 SLOW POST /inspect-shm status=200 duration_ms=1422.2
2026-09-09T22:16:20.188 SLOW POST /inspect-shm status=200 duration_ms=1461.5
2026-09-09T22:16:20.298 SLOW POST /inspect-shm status=200 duration_ms=1337.2
2026-09-09T22:16:21.626 SLOW POST /inspect-shm-visuals status=200 duration_ms=1110.4
2026-09-09T22:16:21.728 SLOW POST /inspect-shm-visuals status=200 duration_ms=1181.5
2026-09-09T22:16:21.820 SLOW POST /inspect-shm-visuals status=200 duration_ms=1289.3
2026-09-09T22:16:22.715 SLOW POST /inspect-shm-visuals status=200 duration_ms=1085.6
2026-09-09T22:16:29.775 SLOW POST /inspect-shm status=200 duration_ms=1617.3
