=== slow log started: C:\Users\Administrator\Documents\GitHub\defect-detector-v3\analisSurface\backend\logs\2026-09-09_21-28-07\slow.log ===
2026-09-09T21:28:40.761 SLOW POST /inspect-shm-visuals status=200 duration_ms=1069.9
2026-09-09T21:28:40.961 SLOW POST /inspect-shm-visuals status=200 duration_ms=1019.0
2026-09-09T21:28:47.993 SLOW POST /inspect-shm status=200 duration_ms=1025.4
2026-09-09T21:28:48.058 SLOW POST /inspect-shm status=200 duration_ms=1041.4
2026-09-09T21:28:49.430 SLOW POST /inspect-shm-visuals status=200 duration_ms=1066.7
2026-09-09T21:28:49.430 SLOW POST /inspect-shm-visuals status=200 duration_ms=1038.5
2026-09-09T21:28:59.338 SLOW POST /inspect-shm-visuals status=200 duration_ms=1018.3
2026-09-09T21:28:59.449 SLOW POST /inspect-shm-visuals status=200 duration_ms=1112.1
2026-09-09T21:29:09.347 SLOW POST /inspect-shm-visuals status=200 duration_ms=1065.6
2026-09-09T21:29:09.370 SLOW POST /inspect-shm-visuals status=200 duration_ms=1086.1
2026-09-09T21:29:09.488 SLOW POST /inspect-shm-visuals status=200 duration_ms=1209.9
2026-09-09T21:29:19.490 SLOW POST /inspect-shm-visuals status=200 duration_ms=1002.5
2026-09-09T21:29:19.560 SLOW POST /inspect-shm-visuals status=200 duration_ms=1069.6
2026-09-09T21:29:19.648 SLOW POST /inspect-shm-visuals status=200 duration_ms=1159.1
2026-09-09T21:29:20.658 SLOW POST /inspect-shm-visuals status=200 duration_ms=1086.5
2026-09-09T21:29:29.572 SLOW POST /inspect-shm-visuals status=200 duration_ms=1032.7
2026-09-09T21:29:29.665 SLOW POST /inspect-shm-visuals status=200 duration_ms=1130.2
2026-09-09T21:29:29.689 SLOW POST /inspect-shm-visuals status=200 duration_ms=1171.2
2026-09-09T21:29:39.573 SLOW POST /inspect-shm-visuals status=200 duration_ms=1040.4
2026-09-09T21:29:49.690 SLOW POST /inspect-shm-visuals status=200 duration_ms=1054.0
2026-09-09T21:29:49.732 SLOW POST /inspect-shm-visuals status=200 duration_ms=1085.2
2026-09-09T21:29:59.780 SLOW POST /inspect-shm-visuals status=200 duration_ms=1033.6
2026-09-09T21:29:59.780 SLOW POST /inspect-shm-visuals status=200 duration_ms=1051.5
2026-09-09T21:29:59.783 SLOW POST /inspect-shm-visuals status=200 duration_ms=1064.8
2026-09-09T21:30:09.899 SLOW POST /inspect-shm-visuals status=200 duration_ms=1098.5
