=== slow log started: C:\Users\Administrator\Documents\GitHub\defect-detector-v3\analisSurface\backend\logs\2026-09-09_22-14-46\slow.log ===
2026-09-09T22:15:39.842 SLOW POST /inspect-shm status=200 duration_ms=1441.5
2026-09-09T22:15:40.418 SLOW POST /inspect-shm status=200 duration_ms=1573.0
2026-09-09T22:15:40.460 SLOW POST /inspect-shm status=200 duration_ms=1709.0
2026-09-09T22:15:40.564 SLOW POST /inspect-shm status=200 duration_ms=1293.2
2026-09-09T22:15:49.654 SLOW POST /inspect-shm status=200 duration_ms=1729.0
2026-09-09T22:15:49.803 SLOW POST /inspect-shm status=200 duration_ms=1710.1
2026-09-09T22:15:49.875 SLOW POST /inspect-shm status=200 duration_ms=1679.0
2026-09-09T22:15:50.319 SLOW POST /inspect-shm status=200 duration_ms=1369.7
2026-09-09T22:15:59.257 SLOW POST /inspect-shm status=200 duration_ms=1604.5
2026-09-09T22:15:59.872 SLOW POST /inspect-shm status=200 duration_ms=1547.9
2026-09-09T22:16:00.274 SLOW POST /inspect-shm status=200 duration_ms=1402.3
2026-09-09T22:16:09.312 SLOW POST /inspect-shm status=200 duration_ms=1541.4
2026-09-09T22:16:09.772 SLOW POST /inspect-shm status=200 duration_ms=1437.2
2026-09-09T22:16:10.054 SLOW POST /inspect-shm status=200 duration_ms=1234.2
2026-09-09T22:16:19.315 SLOW POST /inspect-shm status=200 duration_ms=1462.0
2026-09-09T22:16:20.289 SLOW POST /inspect-shm status=200 duration_ms=1293.0
2026-09-09T22:16:29.614 SLOW POST /inspect-shm status=200 duration_ms=1728.6
2026-09-09T22:16:29.724 SLOW POST /inspect-shm status=200 duration_ms=1071.9
2026-09-09T22:16:29.807 SLOW POST /inspect-shm status=200 duration_ms=1046.0
2026-09-09T22:16:29.946 SLOW POST /inspect-shm status=200 duration_ms=1535.3
2026-09-09T22:16:39.666 SLOW POST /inspect-shm status=200 duration_ms=1607.5
2026-09-09T22:16:39.893 SLOW POST /inspect-shm status=200 duration_ms=1479.0
2026-09-09T22:16:40.293 SLOW POST /inspect-shm status=200 duration_ms=1155.6
2026-09-09T22:16:49.756 SLOW POST /inspect-shm status=200 duration_ms=1722.5
2026-09-09T22:16:50.158 SLOW POST /inspect-shm status=200 duration_ms=1555.5
2026-09-09T22:16:50.360 SLOW POST /inspect-shm status=200 duration_ms=1500.1
2026-09-09T22:16:59.584 SLOW POST /inspect-shm status=200 duration_ms=1522.0
2026-09-09T22:17:00.036 SLOW POST /inspect-shm status=200 duration_ms=1415.2
2026-09-09T22:17:00.254 SLOW POST /inspect-shm status=200 duration_ms=1349.5
2026-09-09T22:17:00.548 SLOW POST /inspect-shm status=200 duration_ms=1121.0
2026-09-09T22:17:09.843 SLOW POST /inspect-shm status=200 duration_ms=1631.0
2026-09-09T22:17:10.209 SLOW POST /inspect-shm status=200 duration_ms=1453.7
2026-09-09T22:17:10.322 SLOW POST /inspect-shm status=200 duration_ms=1241.3
2026-09-09T22:17:20.500 SLOW POST /inspect-shm status=200 duration_ms=1315.3
2026-09-09T22:17:20.749 SLOW POST /inspect-shm status=200 duration_ms=1382.5
2026-09-09T22:17:30.102 SLOW POST /inspect-shm status=200 duration_ms=1648.8
2026-09-09T22:17:30.532 SLOW POST /inspect-shm status=200 duration_ms=1534.1
2026-09-09T22:17:30.571 SLOW POST /inspect-shm status=200 duration_ms=1470.3
2026-09-09T22:17:30.679 SLOW POST /inspect-shm status=200 duration_ms=1405.0
2026-09-09T22:17:40.561 SLOW POST /inspect-shm status=200 duration_ms=1581.1
2026-09-09T22:17:41.017 SLOW POST /inspect-shm status=200 duration_ms=1583.5
2026-09-09T22:17:50.355 SLOW POST /inspect-shm status=200 duration_ms=1697.8
2026-09-09T22:17:50.714 SLOW POST /inspect-shm status=200 duration_ms=1472.2
2026-09-09T22:18:00.562 SLOW POST /inspect-shm status=200 duration_ms=1596.7
2026-09-09T22:18:00.656 SLOW POST /inspect-shm status=200 duration_ms=1501.6
2026-09-09T22:18:10.682 SLOW POST /inspect-shm status=200 duration_ms=1401.1
2026-09-09T22:18:10.907 SLOW POST /inspect-shm status=200 duration_ms=1188.0
