=== slow log started: C:\Users\Administrator\Documents\GitHub\defect-detector-v3\analisSurface\backend\logs\2026-09-09_21-42-02\slow.log ===
2026-09-09T21:44:27.885 SLOW POST /inspect-shm-visuals status=200 duration_ms=1077.5
2026-09-09T21:47:08.746 SLOW POST /inspect-shm-visuals status=200 duration_ms=1041.8
2026-09-09T21:48:09.288 SLOW POST /inspect-shm-visuals status=200 duration_ms=1000.1
2026-09-09T21:48:19.340 SLOW POST /inspect-shm-visuals status=200 duration_ms=1014.1
2026-09-09T21:48:29.409 SLOW POST /inspect-shm-visuals status=200 duration_ms=1027.9
2026-09-09T21:48:39.648 SLOW POST /inspect-shm-visuals status=200 duration_ms=1048.6
2026-09-09T21:48:39.774 SLOW POST /inspect-shm-visuals status=200 duration_ms=1109.5
2026-09-09T21:48:59.552 SLOW POST /inspect-shm-visuals status=200 duration_ms=1004.1
2026-09-09T21:49:09.896 SLOW POST /inspect-shm-visuals status=200 duration_ms=1020.2
2026-09-09T21:49:29.865 SLOW POST /inspect-shm-visuals status=200 duration_ms=1050.2
2026-09-09T21:49:30.048 SLOW POST /inspect-shm-visuals status=200 duration_ms=1066.7
2026-09-09T21:49:49.955 SLOW POST /inspect-shm-visuals status=200 duration_ms=1001.1
2026-09-09T21:50:00.055 SLOW POST /inspect-shm-visuals status=200 duration_ms=1007.1
2026-09-09T21:50:10.321 SLOW POST /inspect-shm-visuals status=200 duration_ms=1015.0
2026-09-09T21:50:10.421 SLOW POST /inspect-shm-visuals status=200 duration_ms=1035.5
2026-09-09T21:50:10.563 SLOW POST /inspect-shm-visuals status=200 duration_ms=1184.8
