,Состояния,,,,Неисправности,,,,Управление,,,
,RF,,,,RF,,,,RF,,,
,,BOOL,144.09,,,BOOL,194.09,,,BOOL,244.09,
,,BOOL,144.10,,,BOOL,194.10,,,BOOL,244.10,
,,BOOL,144.11,,,BOOL,194.11,,,BOOL,244.11,
,,BOOL,144.12,,,BOOL,194.12,,,BOOL,244.12,
,,BOOL,144.13,,,BOOL,194.13,,,BOOL,244.13,
,,BOOL,144.14,,,BOOL,194.14,,,BOOL,244.14,
,,BOOL,144.15,,,BOOL,194.15,,,BOOL,244.15,
,,CHANNEL,145,,,CHANNEL,195,,,CHANNEL,245,
,,BOOL,145.00,,,BOOL,195.00,,,BOOL,245.00,
,,BOOL,145.01,,,BOOL,195.01,,,BOOL,245.01,
,,BOOL,145.02,,,BOOL,195.02,,,BOOL,245.02,
,,BOOL,145.03,,,BOOL,195.03,,,BOOL,245.03,
,,BOOL,145.04,,,BOOL,195.04,,,BOOL,245.04,
,,BOOL,145.05,,,BOOL,195.05,,,BOOL,245.05,
,,BOOL,145.06,,,BOOL,195.06,,,BOOL,245.06,
,,BOOL,145.07,,,BOOL,195.07,,,BOOL,245.07,
,,BOOL,145.08,,,BOOL,195.08,,,BOOL,245.08,
,,BOOL,145.09,,,BOOL,195.09,,,BOOL,245.09,
,,BOOL,145.10,,,BOOL,195.10,,,BOOL,245.10,
,,BOOL,145.11,,,BOOL,195.11,,,BOOL,245.11,
,,BOOL,145.12,,,BOOL,195.12,,,BOOL,245.12,
,,BOOL,145.13,,,BOOL,195.13,,,BOOL,245.13,
,,BOOL,145.14,,,BOOL,195.14,,,BOOL,245.14,
,,BOOL,145.15,,,BOOL,195.15,,,BOOL,245.15,
,,CHANNEL,146,,,CHANNEL,196,,,CHANNEL,246,
,,BOOL,146.00,,,BOOL,196.00,,,BOOL,246.00,
,,BOOL,146.01,,,BOOL,196.01,,,BOOL,246.01,
,,BOOL,146.02,,,BOOL,196.02,,,BOOL,246.02,
,,BOOL,146.03,,,BOOL,196.03,,,BOOL,246.03,
,,BOOL,146.04,,,BOOL,196.04,,,BOOL,246.04,
,,BOOL,146.05,,,BOOL,196.05,,,BOOL,246.05,
,,BOOL,146.06,,,BOOL,196.06,,,BOOL,246.06,
,,BOOL,146.07,,,BOOL,196.07,,,BOOL,246.07,
,,BOOL,146.08,,,BOOL,196.08,,,BOOL,246.08,
,,BOOL,146.09,,,BOOL,196.09,,,BOOL,246.09,
,,BOOL,146.10,,,BOOL,196.10,,,BOOL,246.10,
,,BOOL,146.11,,,BOOL,196.11,,,BOOL,246.11,
,,BOOL,146.12,,,BOOL,196.12,,,BOOL,246.12,
,,BOOL,146.13,,,BOOL,196.13,,,BOOL,246.13,
,,BOOL,146.14,,,BOOL,196.14,,,BOOL,246.14,
,,BOOL,146.15,,,BOOL,196.15,,,BOOL,246.15,
,,CHANNEL,147,,,CHANNEL,197,,,CHANNEL,247,
,,BOOL,147.00,,,BOOL,197.00,,,BOOL,247.00,
,,BOOL,147.01,,,BOOL,197.01,,,BOOL,247.01,
,,BOOL,147.02,,,BOOL,197.02,,,BOOL,247.02,
,,BOOL,147.03,,,BOOL,197.03,,,BOOL,247.03,
,,BOOL,147.04,,,BOOL,197.04,,,BOOL,247.04,
,,BOOL,147.05,,,BOOL,197.05,,,BOOL,247.05,
,,BOOL,147.06,,,BOOL,197.06,,,BOOL,247.06,
,,BOOL,147.07,,,BOOL,197.07,,,BOOL,247.07,
,,BOOL,147.08,,,BOOL,197.08,,,BOOL,247.08,
,,BOOL,147.09,,,BOOL,197.09,,,BOOL,247.09,
,,BOOL,147.10,,,BOOL,197.10,,,BOOL,247.10,
,,BOOL,147.11,,,BOOL,197.11,,,BOOL,247.11,
,,BOOL,147.12,,,BOOL,197.12,,,BOOL,247.12,
,,BOOL,147.13,,,BOOL,197.13,,,BOOL,247.13,
,,BOOL,147.14,,,BOOL,197.14,,,BOOL,247.14,
,,BOOL,147.15,,,BOOL,197.15,,,BOOL,247.15,
,,CHANNEL,148,,,CHANNEL,198,,,CHANNEL,248,
,,BOOL,148.00,,,BOOL,198.00,,,BOOL,248.00,
,,BOOL,148.01,,,BOOL,198.01,,,BOOL,248.01,
,,BOOL,148.02,,,BOOL,198.02,,,BOOL,248.02,
,,BOOL,148.03,,,BOOL,198.03,,,BOOL,248.03,
,,BOOL,148.04,,,BOOL,198.04,,,BOOL,248.04,
,,BOOL,148.05,,,BOOL,198.05,,,BOOL,248.05,
,,BOOL,148.06,,,BOOL,198.06,,,BOOL,248.06,
,,BOOL,148.07,,,BOOL,198.07,,,BOOL,248.07,
,,BOOL,148.08,,,BOOL,198.08,,,BOOL,248.08,
,,BOOL,148.09,,,BOOL,198.09,,,BOOL,248.09,
,,BOOL,148.10,,,BOOL,198.10,,,BOOL,248.10,
,,BOOL,148.11,,,BOOL,198.11,,,BOOL,248.11,
,,BOOL,148.12,,,BOOL,198.12,,,BOOL,248.12,
,,BOOL,148.13,,,BOOL,198.13,,,BOOL,248.13,
,,BOOL,148.14,,,BOOL,198.14,,,BOOL,248.14,
,,BOOL,148.15,,,BOOL,198.15,,,BOOL,248.15,
,,CHANNEL,149,,,CHANNEL,199,,,CHANNEL,249,
,,BOOL,149.00,,,BOOL,199.00,,,BOOL,249.00,
,,BOOL,149.01,,,BOOL,199.01,,,BOOL,249.01,
,,BOOL,149.02,,,BOOL,199.02,,,BOOL,249.02,
,,BOOL,149.03,,,BOOL,199.03,,,BOOL,249.03,
,,BOOL,149.04,,,BOOL,199.04,,,BOOL,249.04,
,,BOOL,149.05,,,BOOL,199.05,,,BOOL,249.05,
,,BOOL,149.06,,,BOOL,199.06,,,BOOL,249.06,
,,BOOL,149.07,,,BOOL,199.07,,,BOOL,249.07,
,,BOOL,149.08,,,BOOL,199.08,,,BOOL,249.08,
,,BOOL,149.09,,,BOOL,199.09,,,BOOL,249.09,
,,BOOL,149.10,,,BOOL,199.10,,,BOOL,249.10,
,,BOOL,149.11,,,BOOL,199.11,,,BOOL,249.11,
,,BOOL,149.12,,,BOOL,199.12,,,BOOL,249.12,
,,BOOL,149.13,,,BOOL,199.13,,,BOOL,249.13,
,,BOOL,149.14,,,BOOL,199.14,,,BOOL,249.14,
,,BOOL,149.15,,,BOOL,199.15,,,BOOL,249.15,
,,CHANNEL,150,,,CHANNEL,200,,,CHANNEL,250,
,,BOOL,150.00,,,BOOL,200.00,,,BOOL,250.00,
,,BOOL,150.01,,,BOOL,200.01,,,BOOL,250.01,
