Required fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,RF,,,,RF,,,,RF,,,,RF,,,,RF,,,,RF,,,,RF,,,,RF,,,,,,
,,,CHANNEL,D2200,,,CHANNEL,D2400,,,WORD,D2600,,,WORD,H80,,,WORD,H90,,,CHANNEL,W80,,,CHANNEL,W90,,,BOOL,T120,,,,
,,,CHANNEL,D2201,,,CHANNEL,D2401,,,WORD,D2601,,,BOOL,H80.00,,,BOOL,H90.00,,,BOOL,W80.00,,,BOOL,W90.00,,,BOOL,T121,,,,
,,,CHANNEL,D2202,,,CHANNEL,D2402,,,WORD,D2602,,,BOOL,H80.01,,,BOOL,H90.01,,,BOOL,W80.01,,,BOOL,W90.01,,,BOOL,T122,,,,
,,,CHANNEL,D2203,,,CHANNEL,D2403,,,WORD,D2603,,,BOOL,H80.02,,,BOOL,H90.02,,,BOOL,W80.02,,,BOOL,W90.02,,,BOOL,T123,,,,
,,,CHANNEL,D2204,,,CHANNEL,D2404,,,WORD,D2604,,,BOOL,H80.03,,,BOOL,H90.03,,,BOOL,W80.03,,,BOOL,W90.03,,,BOOL,T124,,,,
,,,CHANNEL,D2205,,,CHANNEL,D2405,,,WORD,D2605,,,BOOL,H80.04,,,BOOL,H90.04,,,BOOL,W80.04,,,BOOL,W90.04,,,BOOL,T125,,,,
,,,CHANNEL,D2206,,,CHANNEL,D2406,,,WORD,D2606,,,BOOL,H80.05,,,BOOL,H90.05,,,BOOL,W80.05,,,BOOL,W90.05,,,BOOL,T126,,,,
,,,CHANNEL,D2207,,,CHANNEL,D2407,,,WORD,D2607,,,BOOL,H80.06,,,BOOL,H90.06,,,BOOL,W80.06,,,BOOL,W90.06,,,BOOL,T127,,,,
,,,CHANNEL,D2208,,,CHANNEL,D2408,,,WORD,D2608,,,BOOL,H80.07,,,BOOL,H90.07,,,BOOL,W80.07,,,BOOL,W90.07,,,BOOL,T128,,,,
,,,CHANNEL,D2209,,,CHANNEL,D2409,,,WORD,D2609,,,BOOL,H80.08,,,BOOL,H90.08,,,BOOL,W80.08,,,BOOL,W90.08,,,BOOL,T129,,,,
,,,CHANNEL,D2210,,,CHANNEL,D2410,,,WORD,D2610,,,BOOL,H80.09,,,BOOL,H90.09,,,BOOL,W80.09,,,BOOL,W90.09,,,BOOL,T130,,,,
,,,CHANNEL,D2211,,,CHANNEL,D2411,,,WORD,D2611,,,BOOL,H80.10,,,BOOL,H90.10,,,BOOL,W80.10,,,BOOL,W90.10,,,BOOL,T131,,,,
,,,CHANNEL,D2212,,,CHANNEL,D2412,,,WORD,D2612,,,BOOL,H80.11,,,BOOL,H90.11,,,BOOL,W80.11,,,BOOL,W90.11,,,BOOL,T132,,,,
,,,CHANNEL,D2213,,,CHANNEL,D2413,,,WORD,D2613,,,BOOL,H80.12,,,BOOL,H90.12,,,BOOL,W80.12,,,BOOL,W90.12,,,BOOL,T133,,,,
,,,CHANNEL,D2214,,,CHANNEL,D2414,,,WORD,D2614,,,BOOL,H80.13,,,BOOL,H90.13,,,BOOL,W80.13,,,BOOL,W90.13,,,BOOL,T134,,,,
,,,CHANNEL,D2215,,,CHANNEL,D2415,,,WORD,D2615,,,BOOL,H80.14,,,BOOL,H90.14,,,BOOL,W80.14,,,BOOL,W90.14,,,BOOL,T135,,,,
,,,CHANNEL,D2216,,,CHANNEL,D2416,,,WORD,D2616,,,BOOL,H80.15,,,BOOL,H90.15,,,BOOL,W80.15,,,BOOL,W90.15,,,BOOL,T136,,,,
,,,CHANNEL,D2217,,,CHANNEL,D2417,,,WORD,D2617,,,WORD,H81,,,WORD,H91,,,CHANNEL,W81,,,CHANNEL,W91,,,BOOL,T137,,,,
,,,CHANNEL,D2218,,,CHANNEL,D2418,,,WORD,D2618,,,BOOL,H81.00,,,BOOL,H91.00,,,BOOL,W81.00,,,BOOL,W91.00,,,BOOL,T138,,,,
,,,CHANNEL,D2219,,,CHANNEL,D2419,,,WORD,D2619,,,BOOL,H81.01,,,BOOL,H91.01,,,BOOL,W81.01,,,BOOL,W91.01,,,BOOL,T139,,,,
,,,CHANNEL,D2220,,,CHANNEL,D2420,,,WORD,D2620,,,BOOL,H81.02,,,BOOL,H91.02,,,BOOL,W81.02,,,BOOL,W91.02,,,BOOL,T140,,,,
,,,CHANNEL,D2221,,,CHANNEL,D2421,,,WORD,D2621,,,BOOL,H81.03,,,BOOL,H91.03,,,BOOL,W81.03,,,BOOL,W91.03,,,BOOL,T141,,,,
