Required fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,RF,,,,RF,,,,RF,,,,RF,,,,RF,,,,RF,,,,RF,,,,RF,,,,,,
,,,CHANNEL,D1025,,,CHANNEL,D1225,,,WORD,D1425,,,BOOL,H41.07,,,BOOL,H51.07,,,BOOL,W41.07,,,BOOL,W51.07,,,BOOL,T45,,,,
,,,CHANNEL,D1026,,,CHANNEL,D1226,,,WORD,D1426,,,BOOL,H41.08,,,BOOL,H51.08,,,BOOL,W41.08,Толкаем ведёрки,,BOOL,W51.08,,,BOOL,T46,,,,
,,,CHANNEL,D1027,,,CHANNEL,D1227,,,WORD,D1427,,,BOOL,H41.09,,,BOOL,H51.09,,,BOOL,W41.09,,,BOOL,W51.09,,,BOOL,T47,,,,
,,,CHANNEL,D1028,,,CHANNEL,D1228,,,WORD,D1428,,,BOOL,H41.10,,,BOOL,H51.10,,,BOOL,W41.10,,,BOOL,W51.10,,,BOOL,T48,,,,
,,,CHANNEL,D1029,,,CHANNEL,D1229,,,WORD,D1429,,,BOOL,H41.11,,,BOOL,H51.11,,,BOOL,W41.11,,,BOOL,W51.11,,,BOOL,T49,,,,
,,,CHANNEL,D1030,,,CHANNEL,D1230,,,WORD,D1430,,,BOOL,H41.12,,,BOOL,H51.12,,,BOOL,W41.12,,,BOOL,W51.12,,,BOOL,T50,,,,
,,,CHANNEL,D1031,,,CHANNEL,D1231,,,WORD,D1431,,,BOOL,H41.13,,,BOOL,H51.13,,,BOOL,W41.13,,,BOOL,W51.13,,,BOOL,T51,,,,
,,,CHANNEL,D1032,,,CHANNEL,D1232,,,WORD,D1432,,,BOOL,H41.14,,,BOOL,H51.14,,,BOOL,W41.14,,,BOOL,W51.14,,,BOOL,T52,,,,
,,,CHANNEL,D1033,,,CHANNEL,D1233,,,WORD,D1433,,,BOOL,H41.15,,,BOOL,H51.15,,,BOOL,W41.15,,,BOOL,W51.15,,,BOOL,T53,,,,
,,,CHANNEL,D1034,,,CHANNEL,D1234,,,WORD,D1434,,,WORD,H42,,,WORD,H52,,,CHANNEL,W42,,,CHANNEL,W52,,,BOOL,T54,,,,
,,,CHANNEL,D1035,,,CHANNEL,D1235,,,WORD,D1435,,,BOOL,H42.00,,,BOOL,H52.00,,,BOOL,W42.00,Толкаем поршень линия 1,,BOOL,W52.00,,,BOOL,T55,,,,
,,,CHANNEL,D1036,,,CHANNEL,D1236,,,WORD,D1436,,,BOOL,H42.01,,,BOOL,H52.01,,,BOOL,W42.01,Толкаем поршень линия 2,,BOOL,W52.01,,,BOOL,T56,,,,
,,,CHANNEL,D1037,,,CHANNEL,D1237,,,WORD,D1437,,,BOOL,H42.02,,,BOOL,H52.02,,,BOOL,W42.02,,,BOOL,W52.02,,,BOOL,T57,,,,
,,,CHANNEL,D1038,,,CHANNEL,D1238,,,WORD,D1438,,,BOOL,H42.03,,,BOOL,H52.03,,,BOOL,W42.03,,,BOOL,W52.03,,,BOOL,T58,,,,
,,,CHANNEL,D1039,,,CHANNEL,D1239,,,WORD,D1439,,,BOOL,H42.04,,,BOOL,H52.04,,,BOOL,W42.04,,,BOOL,W52.04,,,BOOL,T59,,,,
,,,CHANNEL,D1040,,,CHANNEL,D1240,,,WORD,D1440,,,BOOL,H42.05,,,BOOL,H52.05,,,BOOL,W42.05,,,BOOL,W52.05,,,BOOL,T60,,,,
,,,CHANNEL,D1041,,,CHANNEL,D1241,,,WORD,D1441,,,BOOL,H42.06,,,BOOL,H52.06,,,BOOL,W42.06,,,BOOL,W52.06,,,BOOL,T61,,,,
,,,CHANNEL,D1042,,,CHANNEL,D1242,,,WORD,D1442,,,BOOL,H42.07,,,BOOL,H52.07,,,BOOL,W42.07,,,BOOL,W52.07,,,BOOL,T62,,,,
,,,CHANNEL,D1043,,,CHANNEL,D1243,,,WORD,D1443,,,BOOL,H42.08,,,BOOL,H52.08,,,BOOL,W42.08,Звуковой сигнал отбраковки,,BOOL,W52.08,,,BOOL,T63,,,,
