=== slow log started: C:\Users\Administrator\Documents\GitHub\defect-detector-v3\analisSurface\backend\logs\2026-09-09_21-52-08\slow.log ===
2026-09-09T21:53:41.211 SLOW POST /inspect-shm-visuals status=200 duration_ms=1000.9
2026-09-09T21:53:51.254 SLOW POST /inspect-shm-visuals status=200 duration_ms=1048.5
2026-09-09T21:54:01.115 SLOW POST /inspect-shm-visuals status=200 duration_ms=1029.5
2026-09-09T21:54:12.192 SLOW POST /inspect-shm-visuals status=200 duration_ms=1026.8
2026-09-09T21:54:31.218 SLOW POST /inspect-shm-visuals status=200 duration_ms=1039.3
2026-09-09T21:54:41.242 SLOW POST /inspect-shm-visuals status=200 duration_ms=1005.4
2026-09-09T21:54:51.616 SLOW POST /inspect-shm-visuals status=200 duration_ms=1047.7
2026-09-09T21:54:51.792 SLOW POST /inspect-shm-visuals status=200 duration_ms=1138.9
2026-09-09T21:55:11.605 SLOW POST /inspect-shm-visuals status=200 duration_ms=1001.3
2026-09-09T21:55:11.729 SLOW POST /inspect-shm-visuals status=200 duration_ms=1084.2
2026-09-09T21:55:21.674 SLOW POST /inspect-shm-visuals status=200 duration_ms=1041.2
2026-09-09T21:55:21.780 SLOW POST /inspect-shm-visuals status=200 duration_ms=1107.0
2026-09-09T21:55:31.871 SLOW POST /inspect-shm-visuals status=200 duration_ms=1047.6
2026-09-09T21:55:41.870 SLOW POST /inspect-shm-visuals status=200 duration_ms=1077.9
2026-09-09T21:56:01.940 SLOW POST /inspect-shm-visuals status=200 duration_ms=1064.6
2026-09-09T21:56:12.118 SLOW POST /inspect-shm-visuals status=200 duration_ms=1166.6
2026-09-09T21:56:12.144 SLOW POST /inspect-shm-visuals status=200 duration_ms=1117.7
2026-09-09T21:56:12.245 SLOW POST /inspect-shm-visuals status=200 duration_ms=1229.6
2026-09-09T21:56:32.447 SLOW POST /inspect-shm-visuals status=200 duration_ms=1105.2
2026-09-09T21:56:42.389 SLOW POST /inspect-shm-visuals status=200 duration_ms=1028.2
2026-09-09T21:56:42.491 SLOW POST /inspect-shm-visuals status=200 duration_ms=1121.6
2026-09-09T21:56:52.385 SLOW POST /inspect-shm-visuals status=200 duration_ms=1057.9
2026-09-09T21:56:52.386 SLOW POST /inspect-shm-visuals status=200 duration_ms=1046.7
2026-09-09T21:57:02.546 SLOW POST /inspect-shm-visuals status=200 duration_ms=1036.2
